frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,-1.373358,-8.622982,0.861339,0.508031,42
map,-1.385454,-8.601102,0.861226,0.508222,42
map,-1.397530,-8.579212,0.861206,0.508256,42
map,-1.409621,-8.557331,0.861308,0.508084,42
map,-1.421715,-8.535450,0.861374,0.507971,42
map,-1.433818,-8.513576,0.861330,0.508046,42
map,-1.445904,-8.491691,0.861327,0.508051,42
map,-1.458006,-8.469816,0.861411,0.507909,42
map,-1.470106,-8.447939,0.861487,0.507779,42
map,-1.482222,-8.426071,0.861614,0.507565,42
map,-1.494344,-8.404207,0.861621,0.507553,42
map,-1.506461,-8.382339,0.861697,0.507423,42
map,-1.518597,-8.360482,0.861775,0.507291,42
map,-1.530727,-8.338622,0.861796,0.507255,42
map,-1.542866,-8.316767,0.861806,0.507238,42
map,-1.554998,-8.294909,0.861868,0.507132,42
map,-1.567147,-8.273059,0.862042,0.506837,42
map,-1.579309,-8.251217,0.862074,0.506783,42
map,-1.591465,-8.229370,0.862087,0.506759,42
map,-1.603629,-8.207530,0.862141,0.506668,42
map,-1.615793,-8.185689,0.862220,0.506534,42
map,-1.627971,-8.163856,0.862254,0.506476,42
map,-1.640142,-8.142017,0.862268,0.506452,42
map,-1.652322,-8.120186,0.862314,0.506374,42
map,-1.664500,-8.098352,0.862386,0.506252,42
map,-1.676693,-8.076527,0.862498,0.506060,42
map,-1.688890,-8.054705,0.862512,0.506036,42
map,-1.701086,-8.032881,0.862556,0.505961,42
map,-1.713291,-8.011063,0.862623,0.505848,42
map,-1.725497,-7.989245,0.862664,0.505777,42
map,-1.737710,-7.967431,0.862675,0.505758,42
map,-1.749918,-7.945614,0.862713,0.505693,42
map,-1.762137,-7.923804,0.862833,0.505490,42
map,-1.774366,-7.901999,0.862872,0.505422,42
map,-1.786592,-7.880192,0.862889,0.505394,42
map,-1.798824,-7.858389,0.862921,0.505338,42
map,-1.811055,-7.836586,0.862978,0.505241,42
map,-1.823297,-7.814788,0.863016,0.505176,42
map,-1.835535,-7.792988,0.863034,0.505147,42
map,-1.847780,-7.771193,0.863065,0.505093,42
map,-1.860023,-7.749396,0.863111,0.505014,42
map,-1.872276,-7.727604,0.863198,0.504866,42
map,-1.884534,-7.705816,0.863218,0.504831,42
map,-1.896791,-7.684026,0.863246,0.504784,42
map,-1.909053,-7.662241,0.863290,0.504709,42
map,-1.921317,-7.640455,0.863328,0.504644,42
map,-1.933587,-7.618673,0.863347,0.504611,42
map,-1.945854,-7.596890,0.863372,0.504567,42
map,-1.958128,-7.575110,0.863450,0.504434,42
map,-1.970409,-7.553334,0.863485,0.504374,42
map,-1.982689,-7.531558,0.863507,0.504337,42
map,-1.994973,-7.509785,0.863530,0.504297,42
map,-2.007257,-7.488011,0.863567,0.504234,42
map,-2.019548,-7.466240,0.863601,0.504176,42
map,-2.031838,-7.444470,0.863621,0.504142,42
map,-2.044132,-7.422702,0.863669,0.504060,42
map,-2.056430,-7.400936,0.863701,0.504005,42
map,-2.068730,-7.379171,0.863733,0.503949,42
map,-2.081034,-7.357408,0.863752,0.503917,42
map,-2.093337,-7.335645,0.863770,0.503886,42
map,-2.105644,-7.313884,0.863801,0.503834,42
map,-2.117952,-7.292124,0.863832,0.503781,42
map,-2.130264,-7.270366,0.863850,0.503750,42
map,-2.142576,-7.248607,0.863867,0.503720,42
map,-2.154891,-7.226851,0.863913,0.503641,42
map,-2.167210,-7.205097,0.863943,0.503590,42
map,-2.179530,-7.183344,0.863961,0.503558,42
map,-2.191853,-7.161592,0.863974,0.503536,42
map,-2.204176,-7.139840,0.863999,0.503493,42
map,-2.216502,-7.118090,0.864026,0.503447,42
map,-2.228830,-7.096341,0.864041,0.503421,42
map,-2.241159,-7.074592,0.864071,0.503369,42
map,-2.253492,-7.052845,0.864092,0.503334,42
map,-2.265825,-7.031100,0.864117,0.503291,42
map,-2.278162,-7.009356,0.864134,0.503261,42
map,-2.290498,-6.987611,0.864146,0.503241,42
map,-2.302836,-6.965868,0.864167,0.503205,42
map,-2.315176,-6.944126,0.864193,0.503161,42
map,-2.327519,-6.922385,0.864221,0.503112,42
map,-2.339864,-6.900646,0.864234,0.503090,42
map,-2.352209,-6.878907,0.864253,0.503058,42
map,-2.364557,-6.857169,0.864280,0.503010,42
map,-2.376908,-6.835433,0.864297,0.502982,42
map,-2.389258,-6.813696,0.864318,0.502945,42
map,-2.401612,-6.791962,0.864335,0.502917,42
map,-2.413965,-6.770227,0.864363,0.502869,42
map,-2.426324,-6.748496,0.864377,0.502843,42
map,-2.438680,-6.726763,0.864353,0.502885,42
map,-2.451035,-6.705029,0.864365,0.502865,42
map,-2.463393,-6.683297,0.864377,0.502845,42
map,-2.475750,-6.661564,0.864385,0.502830,42
map,-2.488109,-6.639833,0.864376,0.502846,42
map,-2.500464,-6.618099,0.864378,0.502842,42
map,-2.512824,-6.596368,0.864387,0.502827,42
map,-2.525181,-6.574636,0.864342,0.502904,42
map,-2.537533,-6.552900,0.864324,0.502935,42
