extroversion,visual_time,visual_publish_time,visual_N,textual_time,textual_publish_time,textual_N,N_objects,N_words,N_deviations
10,1.0349326133728027,0.6353039741516113,93,0.0002086162567138672,5.555152893066406e-05,93,2,6,2
10,0.13875699043273926,0.7250323295593262,94,0.00021910667419433594,3.075599670410156e-05,94,2,6,2
10,0.17773795127868652,0.46019864082336426,95,0.0006437301635742188,5.817413330078125e-05,95,2,6,2
10,0.1703963279724121,0.42202281951904297,96,0.00031065940856933594,4.458427429199219e-05,96,2,6,2
10,0.17200636863708496,0.4447505474090576,97,0.00020456314086914062,3.814697265625e-05,97,2,6,2
10,0.142686128616333,0.5758869647979736,98,0.0002465248107910156,3.886222839355469e-05,98,2,6,2
10,0.15732860565185547,0.3996448516845703,99,0.0002551078796386719,2.86102294921875e-05,99,4,8,2
10,0.12695908546447754,0.3701903820037842,100,0.00038051605224609375,4.696846008300781e-05,100,4,8,2
10,0.28314852714538574,0.46270108222961426,101,0.00033974647521972656,6.198883056640625e-05,101,4,8,2
10,0.14902424812316895,0.7879972457885742,102,0.00029850006103515625,2.9802322387695312e-05,102,4,8,2
