tf_map_odom_tran_x,tf_map_odom_tran_y,tf_map_odom_tran_z,tf_map_odom_rot_x,tf_map_odom_rot_y,tf_map_odom_rot_z,tf_map_odom_rot_w
-0.030586,-0.102762,0.000000,0.000000,0.000000,0.005014,0.999987
-0.030586,-0.102762,0.000000,0.000000,0.000000,0.005014,0.999987
-0.030586,-0.102762,0.000000,0.000000,0.000000,0.005014,0.999987
-0.030586,-0.102762,0.000000,0.000000,0.000000,0.005014,0.999987
-0.030586,-0.102762,0.000000,0.000000,0.000000,0.005014,0.999987
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.029776,-0.092559,0.000000,0.000000,0.000000,0.004503,0.999990
-0.021107,-0.085825,0.000000,0.000000,0.000000,0.003442,0.999994
-0.021107,-0.085825,0.000000,0.000000,0.000000,0.003442,0.999994
-0.021107,-0.085825,0.000000,0.000000,0.000000,0.003442,0.999994
-0.021107,-0.085825,0.000000,0.000000,0.000000,0.003442,0.999994
-0.021107,-0.085825,0.000000,0.000000,0.000000,0.003442,0.999994
-0.021107,-0.085825,0.000000,0.000000,0.000000,0.003442,0.999994
-0.021107,-0.085825,0.000000,0.000000,0.000000,0.003442,0.999994
-0.021107,-0.085825,0.000000,0.000000,0.000000,0.003442,0.999994
-0.043954,-0.105021,0.000000,0.000000,0.000000,0.005227,0.999986
-0.043954,-0.105021,0.000000,0.000000,0.000000,0.005227,0.999986
-0.043954,-0.105021,0.000000,0.000000,0.000000,0.005227,0.999986
-0.043954,-0.105021,0.000000,0.000000,0.000000,0.005227,0.999986
-0.043954,-0.105021,0.000000,0.000000,0.000000,0.005227,0.999986
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.055477,-0.107381,0.000000,0.000000,0.000000,0.005904,0.999983
-0.032528,-0.088257,0.000000,0.000000,0.000000,0.002466,0.999997
-0.032528,-0.088257,0.000000,0.000000,0.000000,0.002466,0.999997
-0.032528,-0.088257,0.000000,0.000000,0.000000,0.002466,0.999997
-0.032528,-0.088257,0.000000,0.000000,0.000000,0.002466,0.999997
-0.032528,-0.088257,0.000000,0.000000,0.000000,0.002466,0.999997
-0.032528,-0.088257,0.000000,0.000000,0.000000,0.002466,0.999997
-0.015386,-0.075069,0.000000,0.000000,0.000000,0.000577,1.000000
-0.015386,-0.075069,0.000000,0.000000,0.000000,0.000577,1.000000
-0.015386,-0.075069,0.000000,0.000000,0.000000,0.000577,1.000000
-0.015386,-0.075069,0.000000,0.000000,0.000000,0.000577,1.000000
-0.015386,-0.075069,0.000000,0.000000,0.000000,0.000577,1.000000
-0.013725,-0.069283,0.000000,0.000000,0.000000,0.000520,1.000000
